ANT1,44.31,18.98,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,35.70,18.71,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C1-EP-DR,35.27,5.74,0.00,10uF,NORDIC_NRF_3_RESC0402_N
C10,33.93,21.14,87.30,N.C.,PERFECT_0402_0402
C11,33.25,18.79,180.00,100pF,NORDIC_NRF_3_RESC0201_N
C12,32.40,23.71,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C13,32.88,25.36,180.00,N.C.,PERFECT_0402_0402
C14,20.64,22.89,180.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C15,29.54,23.86,0.00,1.0uF,NORDIC_NRF_3_RESC0402_N
C16,29.00,26.21,0.00,47nF,NORDIC_NRF_3_RESC0201_N
C17,10.65,29.71,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C18,15.80,28.71,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C19,36.55,15.21,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C2,39.35,22.21,90.00,12pF,NORDIC_NRF_3_RESC0201_N
C2-EP-DR,27.61,11.74,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_N
C20,21.19,15.36,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C21,27.64,14.34,355.90,4.7uF,NORDIC_NRF_3_RESC0402_N
C22,39.81,19.14,0.00,N.C.,PERFECT_0402_0402
C23,44.97,5.52,90.00,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N
C24,43.87,6.71,90.00,10uF,NORDIC_NRF_3_RESC0402_N
C25,38.02,3.71,0.00,22uF,NORDIC_NRF_3_RESC0402_N
C27,31.48,30.03,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,33.86,3.03,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,35.99,17.06,90.00,1pF,NORDIC_NRF_3_RESC0201_N
C30,20.32,5.53,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,12.78,5.53,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,21.74,19.53,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,38.17,6.21,0.00,22uF,NORDIC_NRF_3_RESC0402_N
C34,18.94,24.53,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,2.70,5.53,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,3.16,2.03,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,3.82,8.21,0.00,10uF,NORDIC_NRF_3_RESC0402_N
C4,39.91,17.56,0.00,1pF,NORDIC_NRF_3_RESC0201_N
C42,20.97,26.90,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,22.29,26.72,90.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C5,21.15,24.71,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C6,19.14,16.74,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C7,30.30,13.71,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C8,32.95,15.71,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C9,32.79,17.10,0.00,820pF,NORDIC_NRF_3_RESC0201_N
D2,24.28,12.66,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,11.98,32.28,180.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,20.00,11.72,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,24.34,8.22,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,14.04,21.86,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C10,13.25,11.86,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C11,15.93,11.36,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C12,13.59,10.36,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C2,13.65,23.86,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C5,13.41,16.86,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C6,13.76,15.36,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C7,16.37,14.36,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C8,13.48,13.86,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
EPD_C9,16.09,12.86,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_N
IC1,18.32,20.64,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,5.68,5.25,0.00,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,37.18,12.50,0.00,BMA423_BMA423,BMA423_BMA423
IC9,41.43,6.31,0.00,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,9.42,17.28,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,38.66,28.95,0.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J4,21.79,31.42,180.00,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,37.79,16.97,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,24.79,24.62,180.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,27.29,24.77,179.70,15nH,NORDIC_NRF_2_RESC0402_L
L5,30.78,7.87,0.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,40.43,1.81,0.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,7.79,29.63,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,16.26,6.84,270.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,40.68,10.03,0.00,3K3,CPF0201D7K68C1_0201
R18,41.64,10.03,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,15.62,10.03,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,25.97,28.08,90.00,5K1,CPF0201D7K68C1_0201
R2,40.97,3.54,90.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R2_EP_DR,17.00,10.03,0.00,10K,CPF0201D7K68C1_0201
R2_USB,23.97,27.96,90.00,5K1,CPF0201D7K68C1_0201
R3,34.42,13.03,0.00,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201
R4,39.47,4.88,90.00,0,CPF0201D7K68C1_0201
R5,19.34,4.03,0.00,10K,CPF0201D7K68C1_0201
R7,30.80,4.03,0.00,10K,CPF0201D7K68C1_0201
R8,16.76,2.53,0.00,10K,CPF0201D7K68C1_0201
R9,13.72,20.03,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,2.60,29.53,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,13.56,8.03,0.00,2.2,CPF0201D7K68C1_0201
SJ1,9.95,6.87,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,23.17,3.38,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,33.69,3.38,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,11.98,3.38,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,40.88,12.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,38.17,8.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,29.43,33.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,35.27,8.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,16.55,17.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,16.43,24.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,42.87,21.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,44.29,9.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,44.18,12.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,29.73,27.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,32.30,27.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,32.66,13.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,32.05,32.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,43.71,2.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,27.50,19.26,0.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
